Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,5.1,3.5,1.4,0.2,Iris-setosa
2,4.9,3,4.362567675103483,0.2,Iris-setosa
3,4.7,3.2,1.3,0.2,Iris-setosa
4,4.6,3.1,1.5,0.2,Iris-setosa
5,3.7497946286096204,3.6,1.4,0.2,Iris-setosa
6,5.4,3.9,1.7,0.4,Iris-setosa
7,4.6,3.310060681271518,1.4,0.49769954926661175,Iris-setosa
8,5,3.4,1.5,0.2,Iris-setosa
9,4.4,2.9,1.4,0.2,Iris-setosa
39.14654154435772,4.016191037987148,3.1,1.5,0.1,Iris-setosa
11,5.4,4.022940375762605,1.5,0.2,Iris-setosa
12,4.8,3.4,1.6,0.2,Iris-setosa
20.60151168603324,5.118002931237474,3,1.4,0.1,Iris-setosa
14,4.3,3,1.1,0.1,Iris-setosa
15,5.101140050602603,4,1.2,0.2,Iris-setosa
16,5.7,4.4,1.5,0.4,Iris-setosa
17,5.4,3.9,1.3,0.4,Iris-setosa
18,5.1,3.851275584725152,1.4,0.3,Iris-setosa
-45.73629298,5.7,3.8,1.7,0.3,Iris-setosa
8.887834065772616,5.1,3.8,1.5,0.7952082976252564,Iris-setosa
21,5.4,3.4,1.7,0.2,Iris-setosa
22,5.1,3.7,1.5,0.4,Iris-setosa
23,4.6,3.6,1,0.2,Iris-setosa
24,5.1,3.3,1.7,0.8588775633477118,Iris-setosa
25,4.8,3.4,1.9,0.2,Iris-setosa
26,5.589265530109432,3,0.8903368312767516,0.2,Iris-setosa
27,3.9718901767021526,3.672091950751066,1.6,0.4,Iris-setosa
28,5.2,3.5,1.5,0.2,Iris-setosa
29,5.2,3.4,1.4,0.2,Iris-setosa
30,4.7,3.2,1.6,0.2,Iris-setosa
31,4.8,3.1,1.6,0.2,Iris-setosa
13.516449773191255,5.4,3.4,1.5,0.4,Iris-setosa
33,5.2,4.1,1.5,0.1,Iris-setosa
34,5.5,4.2,4.08545213153626,0.2,Iris-setosa
35,4.9,3.2542830212920184,1.5,-1.08694049,Iris-setosa
36,5,3.2,1.2,0.2,Iris-setosa
23.607710700321093,5.5,3.5,1.3,0.2,Iris-setosa
38,4.9,3.1,1.5,0.1,Iris-setosa
39,4.4,3,1.3,0.2,Iris-setosa
40,5.1,3.4,1.5,0.2,Iris-setosa
41,5,3.5,1.3,-1.30542469,Iris-setosa
42,4.5,2.3,1.3,-0.961925998,Iris-setosa
43,4.4,3.2,1.3,0.2,Iris-setosa
44,5,3.5,1.6,0.8233660832079714,Iris-setosa
45,5.276691843593774,3.8,1.9,0.4,Iris-setosa
46,4.8,3,1.4,0.3,Iris-setosa
47,4.731490633257707,3.8,4.6382946244027945,0.2,Iris-setosa
48,4.6,3.2,1.4,0.2,Iris-setosa
49,5.3,3.7,-0.55715739,0.2,Iris-setosa
50,5,3.3,1.4,0.2,Iris-setosa
51,7,3.2,4.7,1.4,Iris-versicolor
52,6.4,3.2,4.5,1.5,Iris-versicolor
53,6.9,3.1,4.9,1.5,Iris-versicolor
54,5.5,2.3,4,1.3,Iris-versicolor
55,6.5,2.8,4.6,1.5,Iris-versicolor
56,5.7,2.8,4.5,1.3,Iris-versicolor
57,6.3,3.3,4.7,1.6,Iris-versicolor
58,5.298185107550898,2.4,3.3,1,Iris-versicolor
59,6.6,3.032798437004143,5.673353924447722,1.3,Iris-versicolor
60,5.2,2.7,3.9,1.4,Iris-versicolor
61,4.8155758746046695,2,3.5,1,Iris-versicolor
62,5.9,3,4.2,1.5,Iris-versicolor
63,6,2.2,4,1,Iris-versicolor
64,6.4905636228818775,2.9,4.7,1.4,Iris-versicolor
86.7128671650467,5.296432954721427,2.9,3.6,1.3,Iris-versicolor
66,6.7,3.1,4.4,1.4,Iris-versicolor
67,5.6,3,4.5,1.5,Iris-versicolor
68,5.8,2.7,4.1,0.018021673422400353,Iris-versicolor
80.13323964694138,6.2,2.2,4.5,1.5,Iris-versicolor
